trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9945345033203982}",35,0,-300.22392690943343,"{0: 20, 1: 1, 2: 6, 3: 3, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.9943944164944134}",30,0,-283.6992090926471,"{0: 16, 1: 0, 2: 6, 3: 4, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9942532457548109}",30,0,-118.66896201400301,"{0: 16, 1: 3, 2: 10, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9941109830427677}",20,3,-109.64955596745313,"{0: 6, 1: 4, 2: 6, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9939676202447325}",25,0,-77.02985991364532,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9938231491921398}",20,0,-142.66636899532872,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9936775616611199}",25,0,-248.01589795784298,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.9935308493722096}",20,0,-23.866131783066876,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.993383003990065}",20,12,-46.05036156177526,"{0: 4, 1: 0, 2: 3, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9932340171231707}",20,0,-85.02849656521734,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9930838803235535}",20,8,-44.87308480985234,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.992932585086491}",30,0,-94.25383385326688,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9927801228502247}",20,0,-66.5736110704245,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9926264849956702}",35,0,-239.68240905743963,"{0: 20, 1: 1, 2: 10, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9924716628461303}",25,0,-114.75481386145309,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9923156476670045}",30,18,-15.09121957292547,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.992158430665503}",20,0,-66.1388961117034,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9920000029903568}",20,0,-78.26289406626427,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9918403557315321}",30,0,-122.0651093631229,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.991679479919941}",20,0,-52.286205803293086,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9915173665271565}",30,0,-146.95860196197876,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9913540064651242}",25,0,-89.77388549155995,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.991189390585877}",30,0,-132.71064280467323,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9910235096812494}",25,0,-138.38895528043614,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.990856354482592}",30,10,-80.47695866958612,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.9906879156604872}",20,0,-223.6121434129628,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 4}",0
27,False,"{'a': 0.5, 'e': 0.9905181838244645}",20,0,-89.22682712720308,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9903471495227179}",20,0,-68.95029389005838,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9901748032418224}",35,0,-177.5915716571434,"{0: 21, 1: 2, 2: 8, 3: 2, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.990001135406452}",20,10,-46.635588723583304,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.9898261363790992}",25,0,-105.85887133150558,"{0: 18, 1: 1, 2: 2, 3: 3, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9896497964597933}",20,0,-32.080921043530736,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.9894721058858218}",20,12,-25.94351009858156,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.9892930548314508}",20,0,-42.63531407334609,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.989112633407648}",35,0,-155.24667660181026,"{0: 25, 1: 2, 2: 4, 3: 1, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.9889308316618054}",20,0,-107.96337319212344,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.988747639577463}",20,0,-81.04423606288258,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9885630470740361}",20,0,-80.00590546340669,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.988377044006539}",20,0,-79.6655488583688,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9881896201653152}",20,0,-207.38708459204935,"{0: 7, 1: 2, 2: 8, 3: 0, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.988000765275765}",20,0,-112.54840300770869,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.9878104689980755}",20,0,-130.381796610733,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9876187209269537}",30,5,-97.65337693167541,"{0: 14, 1: 7, 2: 2, 3: 1, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.9874255105913577}",25,0,-179.03682578129772,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.9872308274542325}",25,0,-145.86311011923607,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9870346609122456}",20,8,-96.25432746274522,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
47,False,"{'a': 0.5, 'e': 0.9868370002955243}",20,0,-42.85802939553684,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9866378348673962}",25,0,-14.648148395638335,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9864371538241284}",25,0,-238.87000594945,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
50,False,"{'a': 0.5, 'e': 0.9862349462946713}",20,9,-64.37631569650425,"{0: 5, 1: 3, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.986031201340404}",20,0,-56.505356168161434,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.9858259079548791}",20,0,-130.27120878528928,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9856190550635721}",35,0,-120.2039614436547,"{0: 22, 1: 3, 2: 9, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.9854106315236317}",20,0,-75.50834764300328,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9852006261236333}",20,0,-128.58171444533073,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9849890275833321}",35,0,-175.45697465749038,"{0: 23, 1: 1, 2: 8, 3: 0, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.984775824553421}",30,0,-128.53196358430571,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.984561005615291}",25,11,-133.29248977456976,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 3}",1
59,False,"{'a': 0.5, 'e': 0.9843445592807902}",20,0,-114.64116876567122,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9841264739919907}",25,0,-118.15432049680389,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
